A	B	C	D	E	F	G	H	I	RESP
epcVJK	2347.0	383.0	8.0	4749.0	UPpvkc	JqymVN	AWvgct	336.0	502.0
JqymVN	155.0	2474.0	1478.0	4720.0	WstBYV	WstBYV	gkygIZ	1761.0	7935.0
KVGcIg	1026.0	5240.0	435.0	781.0	CBcUxf	gkygIZ	UPpvkc	4842.0	4425.0
eeVQAD	4615.0	93.0	3942.0	483.0	uHjRAr	KVGcIg	ReOawA	3145.0	2887.0
IrOLwQ	464.0	6519.0	5007.0	2033.0	StAyqw	uHjRAr	KVGcIg	3453.0	495.0
CBcUxf	267.0	710.0	2368.0	2086.0	StAyqw	TuCZEm	gkygIZ	219.0	417.0
cpWqOw	7393.0	1604.0	6932.0	2032.0	DPIKud	eeVQAD	OhryCL	3437.0	135.0
OhryCL	5900.0	1545.0	3535.0	2321.0	CBcUxf	FElhOR	StAyqw	2053.0	60.0
LHTxOM	2608.0	581.0	179.0	50.0	epcVJK	DPIKud	ZigqKk	745.0	978.0
xuoBel	5460.0	6201.0	4246.0	162.0	JqymVN	pfmxrL	epcVJK	494.0	245.0
NwlieP	8487.0	6023.0	5568.0	202.0	MdNHJO	WstBYV	LHTxOM	1021.0	2072.0
JqymVN	1.0	5333.0	2039.0	161.0	eeVQAD	ZigqKk	NwlieP	206.0	931.0
epcVJK	1380.0	7126.0	5950.0	5413.0	MdNHJO	NwlieP	AWvgct	508.0	7356.0
cpWqOw	4161.0	3104.0	2250.0	441.0	cpWqOw	JqymVN	WstBYV	3635.0	1.0
SYnotp	1940.0	981.0	3305.0	1858.0	jithza	SYnotp	WstBYV	2679.0	6561.0
SYnotp	2354.0	589.0	2203.0	2205.0	OhryCL	TuCZEm	MdNHJO	5881.0	5612.0
ZigqKk	2799.0	711.0	6672.0	2080.0	eeVQAD	NwlieP	xuoBel	1835.0	2434.0
ReOawA	1267.0	1272.0	2649.0	9643.0	gkygIZ	FElhOR	jithza	608.0	2290.0
IrOLwQ	239.0	2625.0	1052.0	3837.0	cpWqOw	FElhOR	ReOawA	4391.0	2700.0
JqymVN	962.0	1460.0	275.0	245.0	eeVQAD	LHTxOM	CBcUxf	3294.0	3027.0
